team,elo_rating
Spain,2063.4
Argentina,2056.9
France,2024.8
England,1940.9
Brazil,1940.8
Portugal,1939.6
Colombia,1927.7
Ecuador,1922.8
Netherlands,1911.7
Morocco,1900.7
Japan,1898.7
Germany,1898.5
Croatia,1893.5
Uruguay,1882.6
Mexico,1873.1
Turkey,1867.5
Senegal,1858.4
Italy,1851.3
Belgium,1848.0
Paraguay,1841.9
Australia,1838.6
Switzerland,1823.2
IR Iran,1821.8
Norway,1820.5
Denmark,1816.4
Korea Republic,1810.8
Canada,1810.5
Algeria,1801.9
Panama,1793.4
Austria,1790.6
Ukraine,1789.6
Uzbekistan,1782.5
Russia,1774.1
Nigeria,1770.1
Jersey,1769.5
Venezuela,1753.8
USA,1751.4
Egypt,1744.9
Scotland,1744.9
Serbia,1738.1
Jordan,1736.2
Côte d'Ivoire,1730.8
Greece,1730.7
Yugoslavia,1729.7
Chile,1721.1
Iraq,1721.0
Poland,1719.6
Hungary,1714.8
Costa Rica,1708.4
DR Congo,1707.9
Czechia,1707.6
Sweden,1706.8
Tunisia,1705.4
Peru,1701.3
Slovenia,1700.6
Wales,1696.8
Guernsey,1690.1
Kosovo,1681.8
Cameroon,1677.0
Bolivia,1676.8
New Zealand,1676.7
Republic of Ireland,1671.5
Mali,1670.4
Haiti,1670.2
Isle of Man,1667.0
Honduras,1665.0
Slovakia,1664.8
Saudi Arabia,1661.9
Basque Country,1657.1
Jamaica,1657.1
Ynys Môn,1654.5
Czechoslovakia,1653.1
Burkina Faso,1652.9
Northern Cyprus,1641.2
Padania,1636.0
Albania,1630.9
Cabo Verde,1629.9
Romania,1627.4
Isle of Wight,1625.9
Guatemala,1624.8
United Arab Emirates,1623.1
Occitania,1620.3
Israel,1619.3
South Africa,1615.3
Georgia,1615.0
German DR,1613.2
North Macedonia,1609.1
Syria,1602.3
Catalonia,1601.2
Iraqi Kurdistan,1598.9
Abkhazia,1598.8
Oman,1589.0
Bosnia and Herzegovina,1588.2
County of Nice,1583.5
Ghana,1583.1
Kárpátalja,1579.9
Iceland,1579.1
Palestine,1578.7
Rhodes,1576.1
Qatar,1572.0
Suriname,1571.8
Andalusia,1571.0
Kernow,1570.9
Réunion,1570.2
New Caledonia,1568.0
Tamil Eelam,1566.9
Curaçao,1566.8
Northern Ireland,1566.3
Benin,1562.8
Kurdistan,1557.5
Finland,1556.2
Ellan Vannin,1555.1
Guinea,1554.7
Angola,1547.2
Bahrain,1545.7
Arameans Suryoye,1544.3
Belarus,1543.5
Panjab,1543.5
Trinidad and Tobago,1538.0
China PR,1537.6
Zambia,1535.0
Yorkshire,1534.9
Zanzibar,1534.7
Maule Sur,1533.2
Menorca,1531.2
Artsakh,1530.5
Cascadia,1529.7
Gabon,1529.1
Bulgaria,1527.0
Galicia,1525.6
Chameria,1525.6
Corsica,1525.2
Thailand,1524.3
Crimea,1522.5
Uganda,1522.2
Guadeloupe,1520.9
Tahiti,1520.9
Gambia,1520.4
Biafra,1519.3
Western Australia,1516.9
Libya,1516.9
Quebec,1515.2
Felvidék,1513.4
Surrey,1511.4
Donetsk PR,1509.0
Parishes of Jersey,1505.8
Mozambique,1505.6
Brittany,1505.3
Canary Islands,1505.0
Elba Island,1504.7
Korea DPR,1504.1
Silesia,1503.8
Guyana,1503.3
El Salvador,1503.0
Monaco,1501.2
Mapuche,1500.9
Matabeleland,1500.3
Franconia,1500.0
Vietnam,1497.7
Saugeais,1496.1
Malaysia,1495.9
Luhansk PR,1495.9
Délvidék,1495.1
Cilento,1492.9
Nicaragua,1491.1
United Koreans in Japan,1490.4
South Ossetia,1490.2
Sudan,1490.0
Somaliland,1489.9
Ryūkyū,1489.7
Niger,1489.3
Madagascar,1489.2
Madrid,1488.9
Western Armenia,1488.4
Sealand,1488.0
West Papua,1487.1
Shetland,1486.7
Kazakhstan,1486.6
Seborga,1486.5
Papua New Guinea,1485.6
Chechnya,1483.4
Yoruba Nation,1481.7
Sierra Leone,1481.6
Martinique,1480.7
Kenya,1479.8
Montenegro,1478.7
Åland Islands,1478.2
Hmong,1477.0
Greenland,1476.0
Romani people,1474.4
Niue,1473.6
Kuwait,1471.4
Togo,1470.8
Palau,1470.6
East Turkestan,1469.1
Kabylia,1469.0
Székely Land,1468.4
Fiji,1468.3
Equatorial Guinea,1467.1
Aymara,1465.9
Dominican Republic,1465.1
Gozo,1464.3
South Yemen,1464.0
Comoros,1463.4
Zimbabwe,1463.2
Western Isles,1461.1
Ticino,1460.7
Republic of St. Pauli,1460.2
Indonesia,1459.9
Tajikistan,1458.3
Vanuatu,1457.5
Lebanon,1457.1
Sápmi,1454.5
Găgăuzia,1454.4
Vatican City,1451.8
Mayotte,1451.1
Cuba,1450.0
Western Sahara,1447.2
Kyrgyzstan,1446.8
Yemen DPR,1444.8
Saint Barthélemy,1443.9
Namibia,1443.6
Rwanda,1441.8
Provence,1440.4
Two Sicilies,1439.7
French Guiana,1438.4
Marshall Islands,1437.4
Mauritania,1437.2
Sark,1431.6
Raetia,1429.9
Armenia,1427.5
Lesotho,1425.7
Malawi,1425.1
Ambazonia,1424.2
Orkney,1422.0
Chagos Islands,1420.6
Liberia,1419.5
Micronesia,1418.2
Botswana,1415.5
Gotland,1410.8
Ethiopia,1410.1
Luxembourg,1409.1
Burundi,1404.9
Tanzania,1402.7
Solomon Islands,1401.3
Turkmenistan,1399.8
Puerto Rico,1397.2
Azerbaijan,1397.2
Barawa,1396.9
Central African Republic,1396.8
Darfur,1395.1
Faroe Islands,1392.8
Saint Pierre and Miquelon,1392.2
Hitra,1391.4
Saint Helena,1391.0
Saint Vincent and the Grenadines,1390.3
Kiribati,1385.8
Guinea-Bissau,1382.2
Wallis Islands and Futuna,1382.0
Sint Maarten,1381.9
Estonia,1379.8
Bermuda,1368.8
Philippines,1367.5
Saare County,1360.8
Singapore,1360.6
Congo,1351.8
Yemen,1350.9
Cyprus,1349.4
Saint Martin,1345.5
Eswatini,1344.9
Hong Kong,1340.8
Grenada,1334.2
Belize,1329.7
Saint Kitts and Nevis,1329.2
Latvia,1325.7
Tibet,1324.8
Montserrat,1322.3
Samoa,1321.5
Moldova,1321.4
Lithuania,1321.3
Malta,1315.9
Tuvalu,1315.5
Saint Lucia,1313.0
South Sudan,1303.2
Falkland Islands,1289.8
Chad,1284.4
Aruba,1273.5
Frøya,1273.1
Afghanistan,1270.6
Cook Islands,1266.0
India,1259.1
Bonaire,1251.8
Eritrea,1249.3
Mauritius,1248.4
Dominica,1247.4
São Tomé and Príncipe,1240.1
Barbados,1218.5
Antigua and Barbuda,1208.0
Myanmar,1207.1
Bangladesh,1192.0
Alderney,1184.5
Tonga,1180.8
Turks and Caicos Islands,1179.1
Cayman Islands,1175.8
Nepal,1165.0
Somalia,1149.3
Djibouti,1146.5
British Virgin Islands,1142.6
Andorra,1140.7
Northern Mariana Islands,1135.8
Gibraltar,1134.3
Taiwan,1123.2
Cambodia,1121.8
American Samoa,1117.5
United States Virgin Islands,1112.1
Bahamas,1108.6
Sri Lanka,1107.6
Pakistan,1107.5
Maldives,1107.0
Guam,1090.2
Mongolia,1087.4
Seychelles,1081.4
Anguilla,1059.4
Liechtenstein,1055.7
Laos,1051.6
Timor-Leste,1029.5
Brunei,1026.3
Bhutan,980.7
Macau,962.1
San Marino,938.7
